iter_n,timestamp,prompt_hash,model_id,judge_model,n_samples,judge_pass,judge_pass_pct,exact_match_pct,canonical_pass,canonical_total,catastrophic,hallucination_any,latency_p50_ms,cost_runner_usd,cost_judge_usd,iter_dir
9,2026-05-02T09:19:49.843965+00:00,e774babcbb7b,gpt-oss-120b-groq,claude-opus-4-7,80,73,91.25,75.0,6,9,6,15,1033.4,0.027577,5.568623,iterate/results/iter-009-e774babcbb7b
10,2026-05-02T09:48:29.501596+00:00,b0c7f47dd779,qwen3-32b-groq,claude-opus-4-7,80,66,82.5,68.75,5,9,5,15,395.0,0.031633,5.575695,iterate/results/iter-010-b0c7f47dd779
10,2026-05-02T09:48:29.503030+00:00,b0c7f47dd779,gpt-oss-120b-groq,claude-opus-4-7,80,72,90.0,71.25,8,9,5,14,1161.6,0.028045,5.575695,iterate/results/iter-010-b0c7f47dd779
11,2026-05-02T09:53:50.513088+00:00,de08509651e8,qwen3-32b-groq,claude-opus-4-7,80,69,86.25,70.0,6,9,5,13,397.3,0.030454,5.561422,iterate/results/iter-011-de08509651e8
11,2026-05-02T09:53:50.514247+00:00,de08509651e8,gpt-oss-120b-groq,claude-opus-4-7,80,72,90.0,72.5,6,9,6,12,968.8,0.028304,5.561422,iterate/results/iter-011-de08509651e8
12,2026-05-02T09:57:14.107920+00:00,77dbcdebbd73,qwen3-32b-groq,claude-opus-4-7,80,67,83.75,66.25,6,9,5,13,412.4,0.028558,5.581372,iterate/results/iter-012-77dbcdebbd73
12,2026-05-02T09:57:14.109136+00:00,77dbcdebbd73,gpt-oss-120b-groq,claude-opus-4-7,80,72,90.0,72.5,6,9,7,14,1105.3,0.030424,5.581372,iterate/results/iter-012-77dbcdebbd73
13,2026-05-02T18:39:33.621248+00:00,d675d08cea45,qwen3-32b-groq,claude-opus-4-7,80,68,85.0,67.5,6,9,5,14,493.2,0.030196,5.57112,iterate/results/iter-013-d675d08cea45
13,2026-05-02T18:39:33.623293+00:00,d675d08cea45,gpt-oss-120b-groq,claude-opus-4-7,80,69,86.25,70.0,6,9,7,14,1046.3,0.032776,5.57112,iterate/results/iter-013-d675d08cea45
14,2026-05-02T18:47:39.418505+00:00,80c15285f7f1,qwen3-32b-groq,claude-opus-4-7,80,68,85.0,68.75,6,9,6,16,522.4,0.030862,5.583158,iterate/results/iter-014-80c15285f7f1
14,2026-05-02T18:47:39.420355+00:00,80c15285f7f1,gpt-oss-120b-groq,claude-opus-4-7,80,72,90.0,73.75,6,9,7,17,1058.3,0.028014,5.583158,iterate/results/iter-014-80c15285f7f1
15,2026-05-02T19:56:37.175194+00:00,f637db77042f,qwen3-32b-groq,claude-opus-4-7,80,68,85.0,68.75,6,9,7,13,503.3,0.031692,5.581823,iterate/results/iter-015-f637db77042f
15,2026-05-02T19:56:37.176898+00:00,f637db77042f,gpt-oss-120b-groq,claude-opus-4-7,80,72,90.0,75.0,6,9,6,14,1108.3,0.029209,5.581823,iterate/results/iter-015-f637db77042f
16,2026-05-02T20:02:17.422962+00:00,e3ca9507ebad,qwen3-32b-groq,claude-opus-4-7,80,65,81.25,66.25,6,9,9,16,544.7,0.03148,5.570595,iterate/results/iter-016-e3ca9507ebad
16,2026-05-02T20:02:17.424635+00:00,e3ca9507ebad,gpt-oss-120b-groq,claude-opus-4-7,80,73,91.25,75.0,6,9,7,15,1030.5,0.029031,5.570595,iterate/results/iter-016-e3ca9507ebad
17,2026-05-02T20:19:45.506680+00:00,aa3997f49e1e,qwen3-32b-groq,claude-opus-4-7,80,67,83.75,66.25,6,9,8,16,567.4,0.029661,5.58876,iterate/results/iter-017-aa3997f49e1e
17,2026-05-02T20:19:45.508485+00:00,aa3997f49e1e,gpt-oss-120b-groq,claude-opus-4-7,80,71,88.75,75.0,6,9,6,14,989.7,0.030599,5.58876,iterate/results/iter-017-aa3997f49e1e
18,2026-05-02T20:23:49.235750+00:00,ac16083de259,qwen3-32b-groq,claude-opus-4-7,80,67,83.75,70.0,6,9,6,14,546.4,0.033416,5.568075,iterate/results/iter-018-ac16083de259
18,2026-05-02T20:23:49.238081+00:00,ac16083de259,gpt-oss-120b-groq,claude-opus-4-7,80,72,90.0,76.25,6,9,7,16,1048.9,0.027963,5.568075,iterate/results/iter-018-ac16083de259
19,2026-05-02T20:29:49.881456+00:00,f7728e2dafb6,qwen3-32b-groq,claude-opus-4-7,80,66,82.5,65.0,7,9,6,17,454.6,0.032531,5.57352,iterate/results/iter-019-f7728e2dafb6
19,2026-05-02T20:29:49.883371+00:00,f7728e2dafb6,gpt-oss-120b-groq,claude-opus-4-7,80,71,88.75,75.0,6,9,6,15,1060.4,0.032313,5.57352,iterate/results/iter-019-f7728e2dafb6
20,2026-05-02T20:36:34.225617+00:00,04a155da14eb,qwen3-32b-groq,claude-opus-4-7,80,68,85.0,65.0,7,9,6,13,550.3,0.024251,5.56851,iterate/results/iter-020-04a155da14eb
